gene,logfoldchanges,pvals,pvals_adj
RPS2,2.1157475,8.120517986231709e-68,1.1197382251214903e-63
EEF1A1,1.150934,5.212251271662588e-63,4.791448852330363e-59
RPS18,1.3701744,7.102642479904678e-63,4.89691685777028e-59
RPLP1,1.3321596,4.220576958967352e-60,2.327901427488033e-56
RPS19,1.4144145,1.1176743372271445e-56,4.403317553150028e-53
RPL13A,1.1911947,2.3654186246376004e-56,8.154189353781967e-53
RPL15,1.3778228,3.2665715407492895e-53,1.0009501105642658e-49
RPS3,1.380171,3.1240117640270735e-52,8.192644002810153e-49
RPL28,1.4365897,3.2677889633371418e-52,8.192644002810153e-49
RPL18A,1.4203205,7.354839172724224e-52,1.560244266964528e-48
RPS12,1.362481,8.823599905191906e-52,1.7381231298955885e-48
RPS23,1.330784,1.431524415623794e-51,2.631905355604866e-48
RPL10,1.0769503,7.000114692984118e-51,1.1355833117830354e-47
RPS6,1.2481382,8.029925298033473e-50,1.2302737770509285e-46
RPL32,1.2316697,1.0710467931373153e-49,1.5545962347968886e-46
RPS4X,1.5266918,1.4797920149768054e-49,2.040485209451517e-46
RPS24,1.5063306,1.581230172814932e-48,2.0765317002804857e-45
RPL3,1.3426957,3.1379450951053153e-47,3.3283942243390147e-44
RPL13,1.1063505,7.150593400422741e-47,7.30366906655031e-44
RPS17,1.4720094,9.785183780723966e-47,9.637707082314484e-44
RPL19,1.1709895,2.0310052950343586e-43,1.8670354675485845e-40
RPL7A,1.4302438,2.642601125614899e-43,2.350892059426054e-40
RPS28,1.2348162,2.9417323218037104e-43,2.53522168658446e-40
VIM,1.3642099,7.357454541777151e-43,6.148602465246371e-40
RPS20,1.3320987,1.2565800724470784e-42,1.0192342717042804e-39
RPL5,1.631079,2.382676091490566e-42,1.8774126071750524e-39
RPS8,1.3010259,5.782472445861186e-42,4.4296951419988826e-39
RPS14,1.1048365,1.4115346683930199e-41,1.052089272566019e-38
HSPG2,4.404064,5.640220796096403e-41,4.0933160293354365e-38
