Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Translation (GO:0006412),0.75349541350056,2.2412483089860205,0.0,0.0036066551701676134,0.003,6/15,3.34%,EEF1A1;UBA52;FAU;EEF1B2;EEF1D;EEF2
prerank,Macromolecule Biosynthetic Process (GO:0009059),0.8268501477589546,2.172729626772637,0.0,0.005860814651522372,0.012,5/10,3.34%,EEF1A1;FAU;EEF1B2;EEF1D;EEF2
prerank,Central Nervous System Development (GO:0007417),0.6230720998555642,2.145627763496959,0.0,0.007513864937849194,0.023,11/26,12.74%,HSPG2;COL4A1;MARCKSL1;SOX4;MARCKS;CXCR4;GSN;COX7B;CCL14;APOD;NES
prerank,Regulation Of Translation (GO:0006417),0.5655125506650994,1.9849855057374695,0.0014265335235378032,0.06559604090742348,0.214,14/33,17.06%,VIM;GAPDH;HSPB1;SOX4;EEF2;EIF3H;YBX1;EIF4B;SERBP1;NPM1;EIF3E;HNRNPD;PAIP1;MTPN
prerank,Regulation Of Autophagy (GO:0010506),0.5771450224429525,1.8982575412130909,0.0014064697609001407,0.15075818611300626,0.452,3/23,1.39%,EEF1A1;GAPDH;HSPB1
prerank,Platelet Aggregation (GO:0070527),0.6939264692624123,1.8854381741405246,0.0028694404591104736,0.1427634338191347,0.498,5/11,5.85%,HSPB1;ACTG1;GNAS;FLNA;MYL9
prerank,Extracellular Matrix Organization (GO:0030198),0.6096298425537368,1.8520678873782088,0.0014326647564469914,0.17260421171516435,0.626,10/17,20.96%,COL4A1;SERPINH1;COL4A2;GSN;PXDN;COL18A1;ADAMTS9;COL15A1;MATN2;LAMC1
prerank,Homotypic Cell-Cell Adhesion (GO:0034109),0.6354392027874681,1.8175433841928745,0.008415147265077139,0.2136943188324311,0.737,8/13,21.94%,HSPB1;ACTG1;GNAS;FLNA;MYL9;CD99;MYH9;ACTN1
prerank,Regulation Of Signal Transduction (GO:0009966),0.5619352851919828,1.7973658887668833,0.009943181818181818,0.22481483894044788,0.789,6/21,9.26%,IGFBP7;MGLL;IGFBP2;RGS3;ITGB1BP1;SNX3
prerank,Circulatory System Development (GO:0072359),0.5711260434837903,1.7567295820933384,0.012658227848101266,0.28880291275117165,0.865,6/17,8.84%,HSPG2;GJA1;SOX4;MEF2C;SOX18;PDLIM1
prerank,Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557),0.539750504362327,1.7389720427208413,0.011379800853485065,0.3073853838211035,0.897,10/21,22.56%,VIM;INSR;SOX4;EEF2;NPM1;EIF3E;HNRNPD;MTPN;EIF3D;RGCC
prerank,Positive Regulation Of Amide Metabolic Process (GO:0034250),0.5767382062642695,1.72908337901042,0.014245014245014245,0.3062651348667332,0.908,6/16,14.21%,VIM;SOX4;EEF2;NPM1;EIF3E;HNRNPD
prerank,Positive Regulation Of MAP Kinase Activity (GO:0043406),0.6340120685861846,1.7114216479201718,0.017316017316017316,0.32619421664035164,0.929,4/10,6.13%,INSR;FLT1;ERP29;MEF2C
prerank,Actin Filament Organization (GO:0007015),0.5332281607540765,1.6752245277871396,0.016901408450704224,0.4090333390309735,0.965,8/20,12.05%,MARCKSL1;MARCKS;FLNA;GSN;DPYSL3;DSTN;TPM4;SVIL
prerank,Heart Development (GO:0007507),0.5148698840793536,1.6504858696222775,0.02275960170697013,0.4572637646577506,0.984,7/20,8.84%,GJA1;INSR;SOX4;MEF2C;SOX18;FKBP1A;PDLIM1
prerank,Cellular Response To Lipopolysaccharide (GO:0071222),0.605568846504923,1.6342713176051544,0.031473533619456366,0.4804740934507668,0.993,3/10,6.13%,VIM;UXT;MEF2C
prerank,Regulation Of Programmed Cell Death (GO:0043067),0.4828070837730536,1.6271263089966153,0.031029619181946404,0.4753889748560635,0.995,11/25,21.94%,TPT1;LGALS1;ACTN4;ANP32B;PRDX2;BAX;ACTB;NME1;RSL1D1;PSMC5;ACTN1
prerank,Supramolecular Fiber Organization (GO:0097435),0.463710614119465,1.6158995181297924,0.01969057665260197,0.485195305253382,0.997,14/32,11.77%,VIM;MARCKSL1;SERPINH1;MARCKS;HNRNPA1;GSN;PXDN;MYL9;STMN1;FKBP1A;KRT10;COL18A1;BAX;TPM4
